,Job_URL,Date_Posted,Job_Title,Location
0,https://www.merckgroup.com/en/careers/jobs/271221.html?location=Germany&state=Hessen&city=Gernsheim&functionalarea=Supply Chain,Posted 16 Jan 2024,Werkstudent  für Logistik (m/w/d),"Gernsheim, Hessen, Germany"
1,https://www.merckgroup.com/en/careers/jobs/271187.html?location=Poland&state=Dolnoslaskie&city=Wroclaw&functionalarea=Procurement,Posted 16 Jan 2024,Sourcing Manager Site Operations (all genders),"Wroclaw, Dolnoslaskie, Poland"
2,https://www.merckgroup.com/en/careers/jobs/269741.html?location=China&state=Beijing&city=Beijing&functionalarea=Commercial,Posted 16 Jan 2024,医药代表-心血管代谢-南宁,"Beijing, Beijing, China"
3,https://www.merckgroup.com/en/careers/jobs/271186.html?location=Poland&state=Dolnoslaskie&city=Wroclaw&functionalarea=Procurement,Posted 16 Jan 2024,Sourcing Manager Logistics (all genders),"Wroclaw, Dolnoslaskie, Poland"
4,https://www.merckgroup.com/en/careers/jobs/268425.html?location=Switzerland&state=Vaud&city=Aubonne&functionalarea=No Functional Area,Posted 16 Jan 2024,Internship QA Training,"Aubonne, Vaud, Switzerland"
5,https://www.merckgroup.com/en/careers/jobs/270980.html?location=India&state=Karnataka&city=Bangalore&functionalarea=Information Technology,Posted 16 Jan 2024,Associate Analyst,"Bangalore, Karnataka, India"
6,https://www.merckgroup.com/en/careers/jobs/270537.html?location=China&state=Beijing&city=Beijing&functionalarea=Commercial,Posted 16 Jan 2024,地区经理-心血管代谢及内分泌-天津,"Beijing, Beijing, China"
7,https://www.merckgroup.com/en/careers/jobs/271170.html?location=China&state=Shanghai&city=Shanghai&functionalarea=Strategy & Business Development,Posted 16 Jan 2024,Associate - Inhouse Consulting 1,"Shanghai, Shanghai, China"
8,https://www.merckgroup.com/en/careers/jobs/270514.html?location=Colombia&state=Bogota&city=Santa Fe de Bogota&functionalarea=Commercial,Posted 15 Jan 2024,Product Manager Oncology,"Santa Fe de Bogota, Bogota, Colombia"
9,https://www.merckgroup.com/en/careers/jobs/270956.html?location=Italy&state=Bari&city=Modugno&functionalarea=Manufacturing,Posted 15 Jan 2024,Production Specialist Maternity Leave,"Modugno, Bari, Italy"
10,https://www.merckgroup.com/en/careers/jobs/269786.html?location=Germany&state=Hessen&city=Gernsheim&functionalarea=Supply Chain,Posted 15 Jan 2024,Global Transportation Processes & TM Improvement (all genders),"Gernsheim, Hessen, Germany"
11,https://www.merckgroup.com/en/careers/jobs/271210.html?location=India&state=Karnataka&city=Bangalore&functionalarea=Information Technology,Posted 15 Jan 2024,SAP - Senior Analyst,"Bangalore, Karnataka, India"
12,https://www.merckgroup.com/en/careers/jobs/269742.html?location=Germany&state=Hamburg&city=Hamburg&functionalarea=Quality,Posted 15 Jan 2024,Technischer Assistent - Qualitätskontrolle mRNA-Herstellung (m/w/d) (VZ / 80% TZ),"Hamburg, Hamburg, Germany"
13,https://www.merckgroup.com/en/careers/jobs/270753.html?location=Germany&state=Hessen&city=Darmstadt&functionalarea=No Functional Area,Posted 15 Jan 2024,Internship Strategic Business Development (all genders),"Darmstadt, Hessen, Germany"
14,https://www.merckgroup.com/en/careers/jobs/271204.html?location=Switzerland&state=Vaud&city=Corsier-sur-Vevey&functionalarea=Research & Development,Posted 15 Jan 2024,Analytical Op&QC Lab Manager (m/f/d),"Corsier-sur-Vevey, Vaud, Switzerland"
15,https://www.merckgroup.com/en/careers/jobs/270735.html?location=China&state=Beijing&city=Beijing&functionalarea=Commercial,Posted 15 Jan 2024,客户专员-MIX-北京,"Beijing, Beijing, China"
16,https://www.merckgroup.com/en/careers/jobs/271080.html?location=Republic of Korea&state=Seoul&city=Seoul&functionalarea=Commercial,Posted 15 Jan 2024,"Account Manager (기술영업, 바이오, 5년 이상)","Seoul, Seoul, Republic of Korea"
17,https://www.merckgroup.com/en/careers/jobs/271047.html?location=Taiwan&state=Hsinchu County&city=Hsinchu&functionalarea=Manufacturing,Posted 15 Jan 2024,Technician,"Hsinchu, Hsinchu County, Taiwan"
18,https://www.merckgroup.com/en/careers/jobs/271208.html?location=Singapore&state=Singapore&city=Singapore&functionalarea=Data Analytics & Digital Business,Posted 15 Jan 2024,Data Engineer,"Singapore, Singapore, Singapore"
19,https://www.merckgroup.com/en/careers/jobs/270632.html?location=India&state=Karnataka&city=Bangalore&functionalarea=Strategy & Business Development,Posted 15 Jan 2024,Senior Communication Expert,"Bangalore, Karnataka, India"
20,https://www.merckgroup.com/en/careers/jobs/271207.html?location=Singapore&state=Singapore&city=Singapore&functionalarea=Data Analytics & Digital Business,Posted 15 Jan 2024,Data Engineer,"Singapore, Singapore, Singapore"
21,https://www.merckgroup.com/en/careers/jobs/270892.html?location=Philippines&state=Metro Manila&city=Bonifacio Global City&functionalarea=Finance,Posted 15 Jan 2024,Supplier Care Advisor,"Bonifacio Global City, Metro Manila, Philippines"
22,https://www.merckgroup.com/en/careers/jobs/271032.html?location=Peru&state=Lima&city=Lima&functionalarea=Commercial,Posted 13 Jan 2024,Working Student,"Lima, Lima, Peru"
23,https://www.merckgroup.com/en/careers/jobs/269384.html?location=India&state=Karnataka&city=Bangalore&functionalarea=Legal,Posted 13 Jan 2024,Corporate Counsel,"Bangalore, Karnataka, India"
24,https://www.merckgroup.com/en/careers/jobs/271061.html?location=Mexico&state=Bogota&city=Santa Fe de Bogota&functionalarea=Commercial,Posted 13 Jan 2024,Medical Representative,"Santa Fe de Bogota, Bogota, Mexico"
25,https://www.merckgroup.com/en/careers/jobs/271071.html?location=Mexico&state=Estado de Mexico&city=Naucalpan de Juarez&functionalarea=Human Resources,Posted 12 Jan 2024,HR SPECIALIST,"Naucalpan de Juarez, Estado de Mexico, Mexico"
26,https://www.merckgroup.com/en/careers/jobs/271036.html?location=United States&state=Missouri&city=St. Louis&functionalarea=Manufacturing,Posted 12 Jan 2024,Manufacturing Supervisor - Night Shift,"St. Louis, Missouri, United States"
